Name,Award,Field,State/Country,Year
Dr. Parasu Ram Mishra,Padma Shri,Science and Engineering,Jharkhand,2000
Dr. Pradeep Kumar Dave,Padma Shri,Medicine,Uttar Pradesh,2000
Dr. Ramanand Sagar,Padma Shri,Art,Maharashtra,2000
Dr. Vijay Pandurang Bhatkar,Padma Shri,Science and Engineering,Maharashtra,2000
Dr. Vipin Buckshey,Padma Shri,Medicine,Delhi,2000
Ms. Neidonuo Angami,Padma Shri,Social Work,Nagaland,2000
Prof. Grigoriy Lvovitch Bondarevsky,Padma Shri,Literature and Education,Russia,2000
Prof.(Dr.) Kakarla Subbarao,Padma Shri,Medicine,Telangana,2000
Shri Abdur Rahman Rahi,Padma Shri,Literature and Education,Jammu & Kashmir,2000
Shri Allah Rakka Rahman,Padma Shri,Art,Tamil Nadu,2000
Shri Aloysius Prakash Fernandez,Padma Shri,Others,Karnataka,2000
Shri Alyque Padamsee,Padma Shri,Art,Maharashtra,2000
Shri Dina Nath Malhotra,Padma Shri,Others,Delhi,2000
Shri Elangbam Nilakanta Singh,Padma Shri,Literature and Education,Manipur,2000
Shri Enuga Sreenivasulu Reddy,Padma Shri,Public Affairs,USA,2000
Shri Gopalasamy Govindarajan,Padma Shri,Science and Engineering,Maharashtra,2000
Shri Jagan Nath Kaul,Padma Shri,Social Work,Haryana,2000
Shri Kalika Prasad Saxena,Padma Shri,Literature and Education,Uttar Pradesh,2000
Shri Kanhai Chitrakar,Padma Shri,Art,Uttar Pradesh,2000
Shri Nagavara Ramarao Narayana Murthy,Padma Shri,Trade and Industry,Karnataka,2000
Shri Pahlira Sena Chawngthu,Padma Shri,Literature and Education,Mizoram,2000
Shri Rabindra Nath Upadhyay,Padma Shri,Social Work,Assam,2000
Shri Satya Narayan Gourisaria,Padma Shri,Public Affairs,United Kingdom,2000
Shri Shekhar Kapur,Padma Shri,Art,Maharashtra,2000
Smt. Anjolie Ela Menon,Padma Shri,Art,Delhi,2000
Smt. Hema Malini,Padma Shri,Art,Maharashtra,2000
Smt. Janaky Athi Nahappan,Padma Shri,Social Work,Malaysia,2000
Smt. Nabaneeta Dev Sen,Padma Shri,Literature and Education,West Bengal,2000
Smt. Patricia Mukhim,Padma Shri,Social Work,Meghalaya,2000
Smt. Piloo Nowshir Jungalwalla,Padma Shri,Literature and Education,Delhi,2000
Smt. Santosh Yadav,Padma Shri,Sports,Delhi,2000
Smt. Shubha Mudgal,Padma Shri,Art,Delhi,2000
Vaidya Suresh Chandra Chaturvedi,Padma Shri,Medicine,Maharashtra,2000
Kum. Lata Dinanath Mangeshkar,Bharat Ratna,Art,Maharashtra,2001
Ustad Bismillah Khan,Bharat Ratna,Art,Uttar Pradesh,2001
Dr. Calyampudi Radhakrishna Rao,Padma Vibhushan,Science and Engineering,USA,2001
Dr. Chakravarthi Vijayaraghava Narasimhan,Padma Vibhushan,Civil Service,Tamil Nadu,2001
Pandit Shiv Kumar Sharma,Padma Vibhushan,Art,Maharashtra,2001
Prof. Man Mohan Sharma,Padma Vibhushan,Science and Engineering,Maharashtra,2001
Shri Amjad Ali Khan,Padma Vibhushan,Art,Delhi,2001
Shri Benjamin Arthur Gilman,Padma Vibhushan,Public Affairs,USA,2001
Shri Hosei Norota,Padma Vibhushan,Public Affairs,Japan,2001
Shri Hrishikesh Mukherjee,Padma Vibhushan,Art,Maharashtra,2001
Shri John Kenneth Galbraith,Padma Vibhushan,Literature and Education,USA,2001
Shri Kotta Satchidananda Murty,Padma Vibhushan,Literature and Education,Andhra Pradesh,2001
Shri Zubin Mehta,Padma Vibhushan,Art,USA,2001
Dr. (Ms.) Yamini Krishnamurti,Padma Bhushan,Art,Delhi,2001
Dr. Arun Netravali,Padma Bhushan,Science and Engineering,USA,2001
Dr. Bhupathiraju Vissam Raju,Padma Bhushan,Trade and Industry,Telangana,2001
Dr. Bhupen Hazarika,Padma Bhushan,Art,Maharashtra,2001
Dr. Boyi Bhimanna,Padma Bhushan,Literature and Education,Telangana,2001
Dr. Chitranjan Singh Ranawat,Padma Bhushan,Medicine,USA,2001
Dr. Karimpumannil Mathai George,Padma Bhushan,Literature and Education,Kerala,2001
Dr. Lakshminarayana Subramaniam,Padma Bhushan,Art,Karnataka,2001
Dr. Naresh Kumar Trehan,Padma Bhushan,Medicine,Delhi,2001
Dr. Palle Rama Rao,Padma Bhushan,Science and Engineering,Telangana,2001
Dr. Raj Reddy,Padma Bhushan,Science and Engineering,USA,2001
Dr. Rajendra Kumar Pachauri,Padma Bhushan,Others,Delhi,2001
Dr.(Kum.) Amrita Patel,Padma Bhushan,Trade and Industry,Gujarat,2001
Dr.(Smt.) Paluvai Bhanumathi Ramakrishna,Padma Bhushan,Art,Tamil Nadu,2001
Maulana Abdul Karim Parekh,Padma Bhushan,Social Work,Maharashtra,2001
Ms. Uma Sharma,Padma Bhushan,Art,Delhi,2001
Prof. Shiv Kumar Kumar,Padma Bhushan,Literature and Education,Telangana,2001
Shri Amitabh Bachchan,Padma Bhushan,Art,Maharashtra,2001
Shri Aroon Purie,Padma Bhushan,Literature and Education,Delhi,2001
Shri Ashok Haribhai Desai,Padma Bhushan,Public Affairs,Delhi,2001
Shri Badrinarayan Ramulal Barwale,Padma Bhushan,Trade and Industry,Maharashtra,2001
Shri Baldev Raj Chopra,Padma Bhushan,Art,Maharashtra,2001
Shri Dev Anand,Padma Bhushan,Art,Maharashtra,2001
Shri Lalgudi Gopalaiyer Jayaraman,Padma Bhushan,Art,Tamil Nadu,2001
Shri Mohan Singh Oberoi,Padma Bhushan,Trade and Industry,Delhi,2001
Shri Pran Sikand,Padma Bhushan,Art,Maharashtra,2001
Shri Raghunath Mohapatra,Padma Bhushan,Art,Odisha,2001
Shri Rahul Bajaj,Padma Bhushan,Trade and Industry,Maharashtra,2001
Shri Sundaram Ramakrishnan,Padma Bhushan,Social Work,Maharashtra,2001
Shri Swadesh Chatterjee,Padma Bhushan,Public Affairs,USA,2001
Shri Trimbak alias Balasaheb Shivram Bharade,Padma Bhushan,Social Work,Maharashtra,2001
Shri Viswanathan Anand,Padma Bhushan,Sports,Tamil Nadu,2001
Bishop (Dr.) Mullanakuzhiyil Abraham Thomas,Padma Shri,Social Work,Rajasthan,2001
Dr. (Ms.) Ketayun Ardeshir Dinshaw,Padma Shri,Science and Engineering,Maharashtra,2001
Dr. Avadhanam Sita Raman,Padma Shri,Art,Tamil Nadu,2001
Dr. Bhabendra Nath Saikia,Padma Shri,Literature and Education,Assam,2001
Dr. Chandrasekhara Basavanneppa Kambar,Padma Shri,Literature and Education,Karnataka,2001
Dr. Chandrathil Gouri Krishnadas Nair,Padma Shri,Science and Engineering,Karnataka,2001
Dr. Chittoor Mohammed Habeebullah,Padma Shri,Medicine,Telangana,2001
Dr. Dasari Prasada Rao,Padma Shri,Medicine,Telangana,2001
Dr. Dasika Durga Prasada Rao,Padma Shri,Science and Engineering,Telangana,2001
Dr. Devegowda Javaregowda,Padma Shri,Literature and Education,Karnataka,2001
Dr. Jyoti Bhushan Banerji,Padma Shri,Medicine,Uttar Pradesh,2001
Dr. Kallam Anji Reddy,Padma Shri,Trade and Industry,Telangana,2001
Dr. Krishna Prasad Singh Varma,Padma Shri,Medicine,Delhi,2001
Dr. Madabusi Santanam Raghunathan,Padma Shri,Science and Engineering,Maharashtra,2001
Dr. Madhavan Krishnan Nair,Padma Shri,Medicine,Kerala,2001
Dr. Mool Chand Maheshwari,Padma Shri,Medicine,Delhi,2001
Dr. Nerella Venumadhav,Padma Shri,Art,Telangana,2001
Dr. Paul Ratnasamy,Padma Shri,Science and Engineering,Maharashtra,2001
Dr. Prem Shanker Goel,Padma Shri,Science and Engineering,Karnataka,2001
Dr. Ravindra Kumar,Padma Shri,Literature and Education,Uttar Pradesh,2001
Dr. S.T. Gnanananda Kavi,Padma Shri,Literature and Education,Andhra Pradesh,2001
Dr. Sandip Kumar Basu,Padma Shri,Science and Engineering,Uttar Pradesh,2001
Dr. Sanjaya Rajaram,Padma Shri,Science and Engineering,Mexico,2001
Dr. Sharadkumar Dicksheet,Padma Shri,Medicine,USA,2001
Dr. Siramdasu Venkata Rama Rao,Padma Shri,Art,Telangana,2001
Dr. Sunil Manilal Kothari,Padma Shri,Art,Delhi,2001
Dr. Thirumalachari Ramasami,Padma Shri,Science and Engineering,Tamil Nadu,2001
Dr.(Prof.) Bhupathiraju Somaraju,Padma Shri,Medicine,Telangana,2001
Dr.(Smt.) Gouri Sen,Padma Shri,Medicine,Delhi,2001
Lt.Gen.(Rtd.) Mohammad Ahmad Zaki,Padma Shri,Civil Service,Telangana,2001
Ms. Bhuvneshwari Kumari,Padma Shri,Sports,Delhi,2001
Ms. Malathi Krishnamurthy Holla,Padma Shri,Sports,Karnataka,2001
Ms. Sunita Rani,Padma Shri,Sports,Punjab,2001
Ms. Tulasi Munda,Padma Shri,Social Work,Odisha,2001
Prof. Ashoke Sen,Padma Shri,Science and Engineering,Uttar Pradesh,2001
Prof. Bala V. Balachandran,Padma Shri,Literature and Education,USA,2001
Prof. Bikash Chandra Sinha,Padma Shri,Science and Engineering,West Bengal,2001
Prof. Dr. (Ms.) Alaka Keshav Deshpande,Padma Shri,Medicine,Maharashtra,2001
Prof. Goverdhan Mehta,Padma Shri,Science and Engineering,Karnataka,2001
Prof. Mohammad Shafi,Padma Shri,Science and Engineering,Uttar Pradesh,2001
Prof. Suhas Pandurang Sukhatme,Padma Shri,Science and Engineering,Maharashtra,2001
Prof. Tiruppattur Venkatachalamurti Ramakrishnan,Padma Shri,Science and Engineering,Karnataka,2001
Shri Aamir Raza Husain,Padma Shri,Art,Delhi,2001
Shri Bisweswar Bhattacharjee,Padma Shri,Science and Engineering,Maharashtra,2001
Shri Daatla Venkata Suryanarayana Raju,Padma Shri,Art,Telangana,2001
Shri Dhanraj Pillay,Padma Shri,Sports,Maharashtra,2001
Shri Elattuvalapil Sreedharan,Padma Shri,Civil Service,Delhi,2001
Shri Kalidas Gupta Riza (Expired),Padma Shri,Literature and Education,Maharashtra,2001
Shri Kandathil Mammen Philip,Padma Shri,Trade and Industry,Maharashtra,2001
Shri Keshavkumar Chintaman Ketkar,Padma Shri,Literature and Education,Maharashtra,2001
Shri Khalid Abdul Hamid Ansari,Padma Shri,Literature and Education,Maharashtra,2001
Shri Laishram Nabakishore Singh,Padma Shri,Medicine,Manipur,2001
Shri Leander Adrian Paes,Padma Shri,Sports,West Bengal,2001
Shri Mahesh Bhupathi,Padma Shri,Sports,Karnataka,2001
Shri Manoj Das,Padma Shri,Literature and Education,Puducherry,2001
Shri Mohammed Tayab Khan,Padma Shri,Art,Rajasthan,2001
Shri Mohan Ranade,Padma Shri,Public Affairs,Maharashtra,2001
Shri Sripathi Panditharadhyula Balasubrahmanyam,Padma Shri,Art,Tamil Nadu,2001
Shri Thota Tharani,Padma Shri,Art,Tamil Nadu,2001
Shri Vachnesh Tripathi,Padma Shri,Literature and Education,Uttar Pradesh,2001
Shri Vijay Kumar Chaturvedi,Padma Shri,Science and Engineering,Maharashtra,2001
Shri Viswanathan Mohanlal,Padma Shri,Art,Tamil Nadu,2001
Smt. Jeelani Bano,Padma Shri,Literature and Education,Telangana,2001
Smt. Padma Sachdev,Padma Shri,Literature and Education,Delhi,2001
Smt. Padmaja Phenany Joglekar,Padma Shri,Art,Maharashtra,2001
Smt. Sobha Naidu,Padma Shri,Art,Telangana,2001
Dr. Chakravarthi Rangarajan,Padma Vibhushan,Literature and Education,Telangana,2002
Dr.(Smt.) Gangubai Hangal,Padma Vibhushan,Art,Karnataka,2002
Pandit Kishan Maharaj,Padma Vibhushan,Art,Uttar Pradesh,2002
Shri Soli Jehangir Sorabjee,Padma Vibhushan,Public Affairs,Delhi,2002
Smt. Kishori Ravindra Amonkar,Padma Vibhushan,Art,Maharashtra,2002
Congressman Frank Pallone,Padma Bhushan,Public Affairs,USA,2002
Congressman Gary Ackerman,Padma Bhushan,Public Affairs,USA,2002
Dr. Prabha Atre,Padma Bhushan,Art,Maharashtra,2002
Major Hari Pal Singh Ahluwalia,Padma Bhushan,Social Work,Delhi,2002
Prof. Natesan Rangabashyam,Padma Bhushan,Medicine,Tamil Nadu,2002
Prof. Sushantha Kumar Bhattacharya,Padma Bhushan,Public Affairs,United Kingdom,2002
Prof. Vangalampalayam Chellappagounder Kulandaiswamy,Padma Bhushan,Science and Engineering,Tamil Nadu,2002
Shri Bellur Krishnamachar Sundara Raja Iyengar,Padma Bhushan,Literature and Education,Maharashtra,2002
Shri Chandrakant Gulabrao Borde,Padma Bhushan,Sports,Maharashtra,2002
Shri Faquir Chand Kohli,Padma Bhushan,Science and Engineering,Maharashtra,2002
Shri Guri Ivanovich Marchuk,Padma Bhushan,Science and Engineering,Russia,2002
Shri Habib Ahmed Khan Tanvir,Padma Bhushan,Art,Madhya Pradesh,2002
Shri Henning Holck Larsen,Padma Bhushan,Trade and Industry,Maharashtra,2002
Shri Ismail Merchant,Padma Bhushan,Art,Maharashtra,2002
Shri Jagat Singh Mehta,Padma Bhushan,Civil Service,Rajasthan,2002
Shri Kattassery Joseph Yesudas,Padma Bhushan,Art,Tamil Nadu,2002
Shri Kottayan Katankot Venugopal,Padma Bhushan,Public Affairs,Delhi,2002
Shri Maharajakrishna Rasgotra,Padma Bhushan,Civil Service,Delhi,2002
Shri Mario De Miranda,Padma Bhushan,Literature and Education,Goa,2002
Shri Nirmal Verma,Padma Bhushan,Literature and Education,Delhi,2002
Shri Pravinchandra Varjivan Gandhi,Padma Bhushan,Trade and Industry,Maharashtra,2002
Shri Ramanujam Varatharaja Perumal,Padma Bhushan,Science and Engineering,Kerala,2002
Shri Yevgeni Petrovich Chelyshev,Padma Bhushan,Literature and Education,Russia,2002
Shri Zakir Hussain,Padma Bhushan,Art,Maharashtra,2002
Smt. Shobha V. Gurtu,Padma Bhushan,Art,Maharashtra,2002
Dr. Anand Swarup Arya,Padma Shri,Science and Engineering,Uttarakhand,2002
Dr. Apathukatha Sivathanu Pillai,Padma Shri,Science and Engineering,Delhi,2002
Dr. Ashok Jhunjhunwala,Padma Shri,Science and Engineering,Tamil Nadu,2002
Dr. Ashok Ramchandra Kelkar,Padma Shri,Literature and Education,Maharashtra,2002
Dr. Atluri Sriman Narayana,Padma Shri,Medicine,Telangana,2002
Dr. Byrana Nagappa Suresh,Padma Shri,Science and Engineering,Kerala,2002
Dr. Chaitanyamoy Ganguly,Padma Shri,Science and Engineering,Telangana,2002
Dr. Duvvur Nageshwar Reddy,Padma Shri,Medicine,Telangana,2002
Dr. Gullapalli Nageswara Rao,Padma Shri,Medicine,Telangana,2002
Dr. Harsh Mahajan,Padma Shri,Medicine,Delhi,2002
Dr. Hrashel Sawi Luaia,Padma Shri,Social Work,Mizoram,2002
Dr. Idupuganti Venkata Subba Rao,Padma Shri,Science and Engineering,Telangana,2002
Dr. Kamaljit Singh Paul,Padma Shri,Medicine,USA,2002
Dr. Karimpat Mathangi Ramakrishnan,Padma Shri,Medicine,Tamil Nadu,2002
Dr. Kim Yang Shik,Padma Shri,Literature and Education,South Korea,2002
Dr. Kiran Martin,Padma Shri,Social Work,Delhi,2002
Dr. Kota Harinarayana,Padma Shri,Science and Engineering,Karnataka,2002
Dr. Munirathna Anandakrishnan,Padma Shri,Literature and Education,Tamil Nadu,2002
Dr. Pradeep Kumar Chowbey,Padma Shri,Medicine,Delhi,2002
Dr. Prahlad Kumar Sethi,Padma Shri,Medicine,Delhi,2002
Dr. Prakash Murlidhar Amte,Padma Shri,Social Work,Maharashtra,2002
Dr. Prakash Nanalal Kothari,Padma Shri,Medicine,Maharashtra,2002
Dr. Satish Chandra Rai,Padma Shri,Public Affairs,Uttar Pradesh,2002
Dr. Sivananda Rajaram,Padma Shri,Social Work,Tamil Nadu,2002
Dr. Suresh Hariram Advani,Padma Shri,Medicine,Maharashtra,2002
Dr. Turlapaty Kutumba Rao,Padma Shri,Literature and Education,Andhra Pradesh,2002
Dr. Vikram Marwaha,Padma Shri,Medicine,Maharashtra,2002
Mrs. Saroja Vaidyanathan,Padma Shri,Art,Delhi,2002
Ms. Darshana Navnitlal Jhaveri,Padma Shri,Art,Maharashtra,2002
Ms. Diana Fram Edulji,Padma Shri,Sports,Maharashtra,2002
Ms. Kiran Segal,Padma Shri,Art,Delhi,2002
Pandit Vishwa Mohan Bhatt,Padma Shri,Art,Rajasthan,2002
Prof. Amitav Mallik,Padma Shri,Science and Engineering,Delhi,2002
Prof. Dorairajan Balasubramanian,Padma Shri,Science and Engineering,Telangana,2002
Prof. Narayanaswamy Balakrishnan,Padma Shri,Science and Engineering,Karnataka,2002
Prof. Padmanabhan Balaram,Padma Shri,Science and Engineering,Karnataka,2002
Prof. Ramanath Cowsik,Padma Shri,Science and Engineering,Karnataka,2002
Prof. Vijay Kumar Dada,Padma Shri,Medicine,Delhi,2002
Shri Dimitris C. Velissaropoulos,Padma Shri,Literature and Education,Greece,2002
Shri Fazal Mohammad,Padma Shri,Art,Uttar Pradesh,2002
Shri Gopal Chhotray,Padma Shri,Literature and Education,Delhi,2002
Shri Govind Nihalani,Padma Shri,Art,Maharashtra,2002
Shri Gyan Chand Jain,Padma Shri,Literature and Education,Delhi,2002
Shri Hirebettu Sadananda Kamath,Padma Shri,Science and Engineering,Maharashtra,2002
Shri Jaspal Rana,Padma Shri,Sports,Delhi,2002
Shri Katuru Narayana,Padma Shri,Science and Engineering,Andhra Pradesh,2002
Shri Madhu Mangesh Karnik,Padma Shri,Literature and Education,Maharashtra,2002
Shri Mani Ratnam,Padma Shri,Art,Tamil Nadu,2002
Shri Muzaffer Hussain,Padma Shri,Literature and Education,Maharashtra,2002
Shri Navaneetham Padmanabha Seshadri,Padma Shri,Art,Delhi,2002
Shri Phillips Talbot,Padma Shri,Public Affairs,USA,2002
Shri Rajan Devadas,Padma Shri,Art,USA,2002
Shri Taro Nakayama,Padma Shri,Public Affairs,Japan,2002
Shri Thettagudi Hariharasarma Vinayakram,Padma Shri,Art,Tamil Nadu,2002
Shri Veettikat Kunduthodiyil Madhvan Kutty,Padma Shri,Literature and Education,Haryana,2002
Shri Virendra Kumar Sharma,Padma Shri,Science and Engineering,Maharashtra,2002
Shri Viresh Pratap Chaudhry,Padma Shri,Public Affairs,Delhi,2002
Shri Wannakuwattawaduge Don Amardeva,Padma Shri,Art,Sri Lanka,2002
Smt. Mani Krishnaswami,Padma Shri,Art,Tamil Nadu,2002
Smt. NULL Manorama,Padma Shri,Art,Tamil Nadu,2002
Smt. Norma Alvares,Padma Shri,Social Work,Goa,2002
Smt. Prema Narendra Purao,Padma Shri,Social Work,Maharashtra,2002
Smt. Pushpa Bhuyan,Padma Shri,Art,Assam,2002
Smt. Raj Begum,Padma Shri,Art,Jammu & Kashmir,2002
Ustad Abdul Latif Khan,Padma Shri,Art,Madhya Pradesh,2002
Shri Bal Ram Nanda,Padma Vibhushan,Literature and Education,Delhi,2003
Shri Kazi Lhendup Dorji Kangsarpa,Padma Vibhushan,Public Affairs,West Bengal,2003
Smt. Sonal Mansingh,Padma Vibhushan,Art,Delhi,2003
Vaidya Bhrihaspati Dev Triguna,Padma Vibhushan,Medicine,Delhi,2003
Dr. Arcot Ramachandran,Padma Bhushan,Science and Engineering,Karnataka,2003
Dr. Herbert Alexandrovich Yefremov,Padma Bhushan,Science and Engineering,Russia,2003
Dr. Kantilal Hastimal Sancheti,Padma Bhushan,Medicine,Maharashtra,2003
Dr. Purshotam Lal,Padma Bhushan,Medicine,Uttar Pradesh,2003
Dr. Ramesh Kumar,Padma Bhushan,Medicine,Delhi,2003
Dr. Sitakant Mahapatra,Padma Bhushan,Literature and Education,Odisha,2003
Dr.(Kum.) Padma Subrahmanyam,Padma Bhushan,Art,Tamil Nadu,2003
Prof. Bagicha Singh Minhas,Padma Bhushan,Science and Engineering,Delhi,2003
Prof. Rajinder Kumar,Padma Bhushan,Science and Engineering,Karnataka,2003
Prof. Ram Badan Singh,Padma Bhushan,Science and Engineering,Delhi,2003
Prof. Shri Krishna Joshi,Padma Bhushan,Science and Engineering,Haryana,2003
Shri Ammannur Madhava Chakyar,Padma Bhushan,Art,Kerala,2003
Shri Balasubramania Rajam Iyer,Padma Bhushan,Art,Tamil Nadu,2003
Shri Coluthur Gopalan,Padma Bhushan,Medicine,Delhi,2003
Shri Hari Shankar Singhania,Padma Bhushan,Trade and Industry,Delhi,2003
Shri Herbert Paul Fischer,Padma Bhushan,Public Affairs,Germany,2003
Shri Jagjit Singh,Padma Bhushan,Art,Maharashtra,2003
Shri Jamshyd Naoroji Godrej,Padma Bhushan,Trade and Industry,Maharashtra,2003
Shri Madurai Narayanan Krishnan,Padma Bhushan,Art,Tamil Nadu,2003
Shri Narayanan Srinivasan,Padma Bhushan,Science and Engineering,Tamil Nadu,2003
Shri Naseeruddin Shah,Padma Bhushan,Art,Maharashtra,2003
Shri Ottupulakkal Velukkuty Vijayan,Padma Bhushan,Literature and Education,Kerala,2003
Shri Parasaran Kesava Iyengar,Padma Bhushan,Public Affairs,Delhi,2003
Shri Prabhu Dayal Chawla,Padma Bhushan,Others,Delhi,2003
Shri Puliyur Subramaniam Narayanaswamy,Padma Bhushan,Art,Tamil Nadu,2003
Shri Subhas Mukhopadhyay,Padma Bhushan,Literature and Education,West Bengal,2003
Shri Thaliyadiparambil Vittappa  Ramachandra Shenoy,Padma Bhushan,Others,Delhi,2003
Shri Tiruvalangadu Vembu Iyer Sankaranarayanan,Padma Bhushan,Art,Tamil Nadu,2003
Shri Trichur  Vaidyanatha Ramachandran,Padma Bhushan,Art,Tamil Nadu,2003
Shri Umayalpuram Kasiviswanatha Sivaraman,Padma Bhushan,Art,Tamil Nadu,2003
Smt. NULL Swapnasundari,Padma Bhushan,Art,Delhi,2003
Smt. Teejan Bai,Padma Bhushan,Art,Chattisgarh,2003
Dr. Ashok Seth,Padma Shri,Medicine,Delhi,2003
Dr. Chawngthu Lalhmingliana,Padma Shri,Social Work,Mizoram,2003
Dr. Francis Dore,Padma Shri,Public Affairs,France,2003
Dr. Gyan Chandra Mishra,Padma Shri,Science and Engineering,Maharashtra,2003
Dr. Jagdish Chaturvedi,Padma Shri,Literature and Education,Delhi,2003
Dr. Jai Bhagwan Chowdhury,Padma Shri,Science and Engineering,Haryana,2003
Dr. Jai Pal Mittal,Padma Shri,Science and Engineering,Maharashtra,2003
Dr. Motilal Jotwani,Padma Shri,Literature and Education,Delhi,2003
Dr. Pritam Singh,Padma Shri,Literature and Education,Uttar Pradesh,2003
Dr. Rajagopalan Krishnan Vaidian,Padma Shri,Medicine,Kerala,2003
Dr. Sarvagya Singh Katiyar,Padma Shri,Science and Engineering,Uttar Pradesh,2003
Dr. Vijay Prakash Singh,Padma Shri,Medicine,Bihar,2003
Dr. Yarlagadda Lakshmi Prasad,Padma Shri,Literature and Education,Andhra Pradesh,2003
Ms. Jyotirmoyee Sikdar,Padma Shri,Sports,West Bengal,2003
Ms. Malavika Sarukkai,Padma Shri,Art,Tamil Nadu,2003
Ms. Ranjana Gauhar,Padma Shri,Art,Delhi,2003
NULL Baburao Govindrao Shirke,Padma Shri,Science and Engineering,Maharashtra,2003
Pandit Rita Ganguly,Padma Shri,Art,Delhi,2003
Pandit Satish Chintaman Vyas,Padma Shri,Art,Maharashtra,2003
Prof Jagdev Singh Guleria,Padma Shri,Medicine,Delhi,2003
Prof. Asok Kumar Barua,Padma Shri,Science and Engineering,West Bengal,2003
Prof. Gopal Chandra Mitra,Padma Shri,Science and Engineering,Odisha,2003
Prof. Narayana Panicker Kochupillai,Padma Shri,Medicine,Delhi,2003
Prof. Neelakanta  Ramakrishna Madhava Menon,Padma Shri,Public Affairs,West Bengal,2003
Prof. Ram Gopal Bajaj,Padma Shri,Art,Andhra Pradesh,2003
Shri Aamir Khan,Padma Shri,Art,Maharashtra,2003
Shri Danny Denzongpa,Padma Shri,Art,Maharashtra,2003
Shri Gopal Purushottam Phadke,Padma Shri,Sports,Maharashtra,2003
Shri Jahnu Barua,Padma Shri,Literature and Education,Assam,2003
Shri Kanhaya Lal Pokhriyal,Padma Shri,Sports,Uttarakhand,2003
Shri Kishorebhai Ratilal Zaveri,Padma Shri,Social Work,Delhi,2003
Shri Mahendra Singh Sodha,Padma Shri,Science and Engineering,Uttar Pradesh,2003
Shri Manthiram Natarajan,Padma Shri,Science and Engineering,Delhi,2003
Shri Manzoor Ahtesham,Padma Shri,Literature and Education,Madhya Pradesh,2003
Shri NULL Nokdenlemba,Padma Shri,Literature and Education,Nagaland,2003
Shri Nagarajan Vedachalam,Padma Shri,Science and Engineering,Kerala,2003
Shri Nalli Kuppuswami Chettiar,Padma Shri,Trade and Industry,Tamil Nadu,2003
Shri Nandanoori Mukesh Kumar,Padma Shri,Sports,Telangana,2003
Shri Nemichandra Jain,Padma Shri,Art,Delhi,2003
Shri Om Prakash Jain,Padma Shri,Art,Delhi,2003
Shri Pratapsinh Ganapatrao Jadhav,Padma Shri,Others,Maharashtra,2003
Shri Ramasamy Vairamuthu,Padma Shri,Literature and Education,Tamil Nadu,2003
Shri Sadashiv Vasantrao Gorakshkar,Padma Shri,Art,Maharashtra,2003
Shri Shailendra Nath Shrivastava,Padma Shri,Literature and Education,Bihar,2003
Shri Shivram Baburao Bhoje,Padma Shri,Science and Engineering,Maharashtra,2003
Shri Srinivas Venkataraghavan,Padma Shri,Sports,Tamil Nadu,2003
Shri Sundaram Ramakrishnan,Padma Shri,Science and Engineering,Kerala,2003
Shri Tekkatte Narayan Shanbhag,Padma Shri,Literature and Education,Maharashtra,2003
Shri Thoguluva Meenakshi Iyengar Sounderarajan,Padma Shri,Art,Tamil Nadu,2003
Shri Vadiraj  Raghavendra Katti,Padma Shri,Science and Engineering,Karnataka,2003
Smt. Kshetrimayum Ongbi Thouranisabi Devi,Padma Shri,Art,Manipur,2003
Smt. Rakhee Gulzar,Padma Shri,Art,Maharashtra,2003
Smt. Sukumari Sathyabhama,Padma Shri,Art,Tamil Nadu,2003
Smt. Verna Elizabeth Watre Ingty,Padma Shri,Social Work,Meghalaya,2003
Ustad Shafaat Ahmed Khan,Padma Shri,Art,Delhi,2003
Justice (Retd) Manepalli Narayana Rao Venkatachaliah,Padma Vibhushan,Public Affairs,Karnataka,2004
Ms. Amrita Pritam,Padma Vibhushan,Literature and Education,Delhi,2004
Prof. Jayant Vishnu Narlikar,Padma Vibhushan,Science and Engineering,Maharashtra,2004
Dr. (Lt.Gen) Bijoy Nandan Shahi,Padma Bhushan,Medicine,Delhi,2004
Dr. (Prof.) Chennamaneni  Hanumantha Rao,Padma Bhushan,Literature and Education,Telangana,2004
Dr. (Smt.) N. Rajam,Padma Bhushan,Art,Uttar Pradesh,2004
Dr. Krishna Srinivas,Padma Bhushan,Literature and Education,Tamil Nadu,2004
Justice (Retd.) Shri Chandrashekhar Shankar Dharmadhikari,Padma Bhushan,Public Affairs,Maharashtra,2004
Late Shri Komal Kothari,Padma Bhushan,Art,Rajasthan,2004
Prof. Gopi Chand Narang,Padma Bhushan,Literature and Education,Delhi,2004
Prof. Govindarajan Padmanaban,Padma Bhushan,Science and Engineering,Karnataka,2004
Prof. Sardara Singh Johl,Padma Bhushan,Science and Engineering,Punjab,2004
Shri Madhav Vittal Kamath,Padma Bhushan,Literature and Education,Maharashtra,2004
Shri Madurai Thirumalai Nambi Seshagopalan,Padma Bhushan,Art,Tamil Nadu,2004
Shri NULL Gulzar,Padma Bhushan,Art,Maharashtra,2004
Shri Soumitra Chatterjee,Padma Bhushan,Art,West Bengal,2004
Shri Thiruvengadam Lakshman Sankar,Padma Bhushan,Civil Service,Telangana,2004
Shri Thoppil Varghese Antony,Padma Bhushan,Civil Service,Tamil Nadu,2004
Shri Vishnu Prabhakar,Padma Bhushan,Literature and Education,Delhi,2004
