Name,Award,Field,State/Country,Year
Shri Govind Sakharam Sardesai,Padma Bhushan,Literature and Education,Maharashtra,1957
Shri K.A. Nilakanta Sastri,Padma Bhushan,Literature and Education,Tamil Nadu,1957
Shri Syamnandan Sahaya,Padma Bhushan,Literature and Education,Bihar,1957
Smt. Andal Venkatasubba Rao,Padma Bhushan,Social Work,Andhra Pradesh,1957
Smt. Lakshmi Menon,Padma Bhushan,Public Affairs,Kerala,1957
Smt. T. Balasaraswathy,Padma Bhushan,Art,Tamil Nadu,1957
Ustad Mushtaq Husain Khan,Padma Bhushan,Art,Madhya Pradesh,1957
Dr. Khushdeva Singh,Padma Shri,Medicine,Punjab,1957
Dr. Shiyali Ramamritha Ranganathan,Padma Shri,Literature and Education,Karnataka,1957
Maj. Gen. Gurbaksh Singh,Padma Shri,Civil Service,Tamil Nadu,1957
Major Ralengnao Khathing,Padma Shri,Public Affairs,Manipur,1957
Shri Atmaram Ramchand Chellani,Padma Shri,Civil Service,Telangana,1957
Shri Balbir Singh,Padma Shri,Sports,Chandigarh,1957
Shri Dwaram Venkataswami Naidu,Padma Shri,Art,Andhra Pradesh,1957
Shri Jashwantrai Jayantilal Anjaria,Padma Shri,Civil Service,Maharashtra,1957
Shri Krishnaswami Ramiah,Padma Shri,Science and Engineering,Andhra Pradesh,1957
Shri L. M. Chitale,Padma Shri,Science and Engineering,Maharashtra,1957
Shri Narayana swami Dharmrajan,Padma Shri,Civil Service,Tamil Nadu,1957
Shri Ram Parkash Gehlote,Padma Shri,Science and Engineering,Delhi,1957
Shri Samarendranath Sen,Padma Shri,Civil Service,West Bengal,1957
Shri Sudhir Ranjan Khastgir,Padma Shri,Art,Uttar Pradesh,1957
Shri Thakkadu Natesasastrigal Jagadisan,Padma Shri,Social Work,Tamil Nadu,1957
Smt. Nalini Bala Devi,Padma Shri,Literature and Education,Assam,1957
Dr. Dhondo Keshav Karve,Bharat Ratna,Social Work,Maharashtra,1958
Dr. Darashaw Nosherwan Wadia,Padma Bhushan,Science and Engineering,Maharashtra,1958
Dr. Kuppali V. Gowda Puttappa,Padma Bhushan,Literature and Education,Karnataka,1958
Dr. Narayan Subrao Hardikar,Padma Bhushan,Social Work,Karnataka,1958
Dr. Rustom Jal Vakil,Padma Bhushan,Medicine,Maharashtra,1958
Kumar D.P. Roy Choudhry,Padma Bhushan,Art,West Bengal,1958
Maharaj Vijaya Ananda,Padma Bhushan,Sports,Uttar Pradesh,1958
Prof. Poola Tirupati Raju,Padma Bhushan,Literature and Education,Rajasthan,1958
Shri Arathil C. Narayanan Nambiar,Padma Bhushan,Civil Service,Kerala,1958
Shri Ariyakudi Ramanuja Iyengar,Padma Bhushan,Art,Tamil Nadu,1958
Shri Jehangir Ghandy,Padma Bhushan,Trade and Industry,Maharashtra,1958
Shri Kumar Padma Sivasankara Menon,Padma Bhushan,Civil Service,Kerala,1958
Shri Rao Raja Hanunt Singh,Padma Bhushan,Public Affairs,Rajasthan,1958
Shri Salim Ali,Padma Bhushan,Science and Engineering,Maharashtra,1958
Shri Surya Narayan Vyas,Padma Bhushan,Literature and Education,Madhya Pradesh,1958
Smt. Kamalendumati Shah,Padma Bhushan,Social Work,Delhi,1958
Ustad Allauddin Khan,Padma Bhushan,Art,Uttar Pradesh,1958
Brig. Ram Singh,Padma Shri,Civil Service,Punjab,1958
Dr. Aragula Nagaraja Rao,Padma Shri,Trade and Industry,Andhra Pradesh,1958
Dr. Bal Raj Nijhawan,Padma Shri,Science and Engineering,Austria,1958
Dr. Benjamin Peary Pal,Padma Shri,Science and Engineering,Delhi,1958
Dr. Navalpakkam Parthasarathy,Padma Shri,Science and Engineering,Thailand,1958
